UID,year,month,day,hour,minute,second,hth_second,ens_number,ens_in_segment,pitch,roll,cor_heading,adcp_temp,v14,v15,v16,v17,v18,v19,v20,v21,v27,v28,v29,v30,v31,v32,v40,v41,v42,v43,v44,v45,v46,v47,v48,v53,v54
14.8.5.12.0.0,14,8,5,12,59,0,0,1,1,-2.750,-2.690,195.650,21.420,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.13.0.0,14,8,5,13,9,0,0,2,1,-0.710,0.880,246.730,21.520,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.13.0.0,14,8,5,13,19,0,0,3,1,-0.680,0.870,245.840,21.860,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.13.0.0,14,8,5,13,29,0,0,4,1,-0.640,0.860,251.380,21.960,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.13.0.0,14,8,5,13,39,0,0,5,1,-2.660,17.110,115.180,21.990,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.13.0.0,14,8,5,13,49,0,0,6,1,-12.260,0.010,99.210,22.520,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.13.0.0,14,8,5,13,59,0,0,7,1,-14.860,1.530,99.780,21.940,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.14.0.0,14,8,5,14,9,0,0,8,1,-14.860,1.500,99.820,21.870,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.14.0.0,14,8,5,14,19,0,0,9,1,-14.880,1.430,100.300,21.820,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.14.0.0,14,8,5,14,29,0,0,10,1,-6.860,-9.100,241.410,22.060,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.14.0.0,14,8,5,14,39,0,0,11,1,16.560,10.220,74.580,22.310,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.14.0.0,14,8,5,14,49,0,0,12,1,28.870,25.040,153.900,23.090,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.14.0.0,14,8,5,14,59,0,0,13,1,-0.120,0.340,171.450,16.740,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.15.0.0,14,8,5,15,9,0,0,14,1,0.120,0.150,172.640,15.330,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.15.0.0,14,8,5,15,19,0,0,15,1,0.210,0.170,174.650,14.580,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.15.0.0,14,8,5,15,29,0,0,16,1,0.170,0.170,284.960,13.990,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.15.0.0,14,8,5,15,39,0,0,17,1,0.030,0.280,305.540,13.590,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.15.0.0,14,8,5,15,49,0,0,18,1,0.030,0.270,4.060,13.400,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.15.0.0,14,8,5,15,59,0,0,19,1,-0.050,0.500,41.090,13.040,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.16.0.0,14,8,5,16,9,0,0,20,1,0.030,0.450,39.070,12.820,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.16.0.0,14,8,5,16,19,0,0,21,1,-0.110,0.390,12.810,12.690,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.16.0.0,14,8,5,16,29,0,0,22,1,-0.110,0.490,8.030,12.620,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.16.0.0,14,8,5,16,39,0,0,23,1,-0.210,0.540,9.190,12.590,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.16.0.0,14,8,5,16,49,0,0,24,1,-0.280,0.610,11.870,12.530,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.16.0.0,14,8,5,16,59,0,0,25,1,-0.260,0.730,24.910,12.520,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.17.0.0,14,8,5,17,9,0,0,26,1,-0.260,0.650,32.960,12.500,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.17.0.0,14,8,5,17,19,0,0,27,1,-0.180,0.550,34.320,12.490,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.17.0.0,14,8,5,17,29,0,0,28,1,-0.320,0.540,281.940,12.480,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.17.0.0,14,8,5,17,39,0,0,29,1,-0.050,0.480,265.210,12.300,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.17.0.0,14,8,5,17,49,0,0,30,1,-0.030,0.580,272.890,12.320,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.17.0.0,14,8,5,17,59,0,0,31,1,-0.100,0.420,277.730,12.220,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.18.0.0,14,8,5,18,9,0,0,32,1,0.020,0.600,214.130,12.230,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
14.8.5.18.0.0,14,8,5,18,19,0,0,33,1,-0.070,0.630,294.680,12.510,0.00,0.00,0.00,0.00,0.00,0.00,-32768.00,-32768.00,-32768.00,30000.0000000,30000.0000000,-32768,-32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,119,cm
